item_id,price_usd,original_price_usd,discount_percentage,discount_amount_usd,shipping_cost_usd,date_time
315431242700,179.17,,,,,2024-11-18 12:46:19.940717
315447342001,400.51,,,,,2024-11-18 12:46:20.782883
196823301068,251.1,,,,61.83,2024-11-18 12:46:21.564845
315431242704,435.29,,,,,2024-11-18 12:46:23.013303
276732232762,379.43,,,,,2024-11-18 12:46:25.414853
326338829515,113.56,,,,54.31,2024-11-18 12:46:27.079682
123879271898,252.3,,,,73.17,2024-11-18 12:46:28.088429
126728176879,214.44,,,,75.19,2024-11-18 12:46:28.924429
134892742250,176.59,,,,67.15,2024-11-18 12:46:29.839128
286102692238,277.56,,,,87.72,2024-11-18 12:46:31.382153
146198679706,203.14,,,,75.94,2024-11-18 12:46:32.130060
196789738058,150.15,,,,61.83,2024-11-18 12:46:33.435060
335679608144,252.35,,,,69.76,2024-11-18 12:46:34.225521
276737470581,82.0,,,,76.49,2024-11-18 12:46:35.204677
276685164976,410.01,,,,,2024-11-18 12:46:36.090330
186758441127,191.83,,,,,2024-11-18 12:46:37.555787
395818670281,179.18,,,,,2024-11-18 12:46:38.296405
114403350735,252.3,,,,,2024-11-18 12:46:40.601807
114141219453,239.68,,,,,2024-11-18 12:46:41.466978
123933892748,239.68,,,,,2024-11-18 12:46:42.343344
115322465586,227.06,,,,53.17,2024-11-18 12:46:43.090909
267003988514,567.75,,,,87.53,2024-11-18 12:46:44.162425
126361612240,189.21,,,,74.47,2024-11-18 12:46:45.414414
387613367005,242.37,,,,,2024-11-18 12:46:46.236433
356275107666,441.62,,,,68.77,2024-11-18 12:46:47.664984
387613446609,152.78,,,,,2024-11-18 12:46:48.536627
134899699002,138.73,,,,63.41,2024-11-18 12:46:49.370270
126251253469,151.35,163.97,8.0,12.62,,2024-11-18 12:46:50.179291
201442420868,156.46,,,,61.73,2024-11-18 12:46:51.495277
126251255194,151.35,163.97,8.0,12.62,,2024-11-18 12:46:52.555926
116213156388,126.18,,,,78.03,2024-11-18 12:46:53.406316
356125108837,176.64,,,,65.3,2024-11-18 12:46:54.298880
286144771162,311.66,,,,57.79,2024-11-18 12:46:55.176304
126774300453,201.82,,,,74.91,2024-11-18 12:46:56.136652
126543764182,163.97,,,,,2024-11-18 12:46:56.986250
256661172106,113.5,,,,60.24,2024-11-18 12:46:57.979702
115322469956,252.3,,,,47.7,2024-11-18 12:46:58.928441
126251810270,138.73,151.35,8.0,12.62,,2024-11-18 12:46:59.886938
387503493647,100.93,,,,64.54,2024-11-18 12:47:00.702273
276717264218,230.83,,,,,2024-11-18 12:47:01.489102
405294888345,138.79,,,,68.41,2024-11-18 12:47:02.407649
126665949203,93.99,,,,53.61,2024-11-18 12:47:03.327928
126252033551,163.97,,,,,2024-11-18 12:47:04.699949
305844773921,146.51,,,,,2024-11-18 12:47:06.332008
276706629329,478.2,,,,70.03,2024-11-18 12:47:07.390002
167103754856,82.0,,,,59.51,2024-11-18 12:47:09.649147
256645186310,176.64,,,,64.72,2024-11-18 12:47:10.570037
126252246129,189.21,,,,74.47,2024-11-18 12:47:11.758831
186790773216,227.12,,,,76.77,2024-11-18 12:47:12.522493
226293322266,98.36,,,,55.59,2024-11-18 12:47:13.419077
276727235664,441.63,,,,,2024-11-18 12:47:14.598831
375777969967,189.61,,,,,2024-11-18 12:47:15.433872
135074744843,606.91,,,,,2024-11-18 12:47:16.183031
276737515235,138.79,,,,61.9,2024-11-18 12:47:16.985739
405289711712,353.3,,,,68.52,2024-11-18 12:47:17.797990
256708171351,88.31,,,,48.38,2024-11-18 12:47:19.819705
134893832382,151.35,,,,66.28,2024-11-18 12:47:20.552760
192298810456,157.73,,,,81.1,2024-11-18 12:47:22.128457
226431200155,189.21,,,,60.68,2024-11-18 12:47:23.409489
387504853988,415.44,,,,,2024-11-18 12:47:24.215806
126252196588,176.59,,,,,2024-11-18 12:47:24.932694
126543772586,163.97,,,,,2024-11-18 12:47:25.759488
315935281170,100.93,,,,67.95,2024-11-18 12:47:26.548206
156514988255,525.95,,,,,2024-11-18 12:47:27.303315
296745224917,138.8,,,,65.85,2024-11-18 12:47:28.905218
126361609163,163.97,176.59,7.0,12.62,73.6,2024-11-18 12:47:30.640030
405190060225,236.55,,,,,2024-11-18 12:47:34.425285
116313689926,391.16,,,,75.23,2024-11-18 12:47:35.327055
387609778928,158.05,,,,,2024-11-18 12:47:36.146104
226319329847,112.99,,,,58.8,2024-11-18 12:47:36.989098
286144772728,299.05,,,,88.46,2024-11-18 12:47:37.855220
387613359443,242.37,,,,,2024-11-18 12:47:38.632723
355920437446,210.56,,,,,2024-11-18 12:47:40.294559
256705041613,164.02,,,,66.71,2024-11-18 12:47:41.090040
186747539313,189.72,,,,,2024-11-18 12:47:42.254847
235823629624,100.93,,,,50.52,2024-11-18 12:47:43.155788
126669612196,100.88,,,,,2024-11-18 12:47:44.011007
387493069050,100.93,,,,62.11,2024-11-18 12:47:45.549661
296804087175,189.27,,,,74.33,2024-11-18 12:47:46.338503
375764545908,147.45,,,,,2024-11-18 12:47:47.153198
176673949344,138.8,,,,61.92,2024-11-18 12:47:48.080045
204310070651,145.09,,,,52.05,2024-11-18 12:47:49.734547
176668932146,126.17,,,,54.72,2024-11-18 12:47:50.740659
256706207221,164.02,,,,70.12,2024-11-18 12:47:52.851764
126536699296,88.26,,,,53.41,2024-11-18 12:47:54.420142
305745321140,128.37,147.55,13.0,19.18,,2024-11-18 12:47:55.175071
404651570198,119.81,,,,,2024-11-18 12:47:55.983844
126248135330,163.97,176.59,7.0,12.62,,2024-11-18 12:47:56.888549
126667832991,100.88,,,,,2024-11-18 12:47:57.732212
134912039799,170.28,,,,56.25,2024-11-18 12:47:58.725466
395913285368,88.31,,,,48.38,2024-11-18 12:48:00.158083
404539479309,119.81,,,,,2024-11-18 12:48:01.951088
156207813366,567.75,,,,87.38,2024-11-18 12:48:02.820488
387610490617,100.93,,,,60.18,2024-11-18 12:48:03.656101
276678454578,304.61,,,,,2024-11-18 12:48:04.438009
134927384382,150.15,,,,66.24,2024-11-18 12:48:05.163004
122441460199,176.59,,,,62.42,2024-11-18 12:48:06.548317
135288069284,805.53,,,,,2024-11-18 12:48:07.286250
176579463541,100.93,,,,50.52,2024-11-18 12:48:08.492963
186761634321,210.8,,,,,2024-11-18 12:48:09.222400
315880879117,113.55,,,,71.71,2024-11-18 12:48:10.051911
126361619559,189.21,,,,74.47,2024-11-18 12:48:10.992941
404625806719,119.81,,,,,2024-11-18 12:48:12.191493
