item_id,seller_id,number_sold,number_available,reviews_num,item_positive_feedback_percentage,date_time
315431242700,1,22,2,6,100.0,2024-11-18 12:46:19.940717
315447342001,1,0,4,0,,2024-11-18 12:46:20.782883
196823301068,2,0,1,0,,2024-11-18 12:46:21.564845
315431242704,1,15,2,4,100.0,2024-11-18 12:46:23.013303
276732232762,3,0,1,0,,2024-11-18 12:46:25.414853
326338829515,4,0,1,0,,2024-11-18 12:46:27.079682
123879271898,5,126,1,1,100.0,2024-11-18 12:46:28.088429
126728176879,5,2,1,0,,2024-11-18 12:46:28.924429
134892742250,6,5,1,6,100.0,2024-11-18 12:46:29.839128
286102692238,7,0,1,0,,2024-11-18 12:46:31.382153
146198679706,8,0,1,0,,2024-11-18 12:46:32.130060
196789738058,2,0,1,0,,2024-11-18 12:46:33.435060
335679608144,9,0,1,0,,2024-11-18 12:46:34.225521
276737470581,10,0,1,0,,2024-11-18 12:46:35.204677
276685164976,3,0,1,0,,2024-11-18 12:46:36.090330
186758441127,11,2,3,0,,2024-11-18 12:46:37.555787
395818670281,12,1,4,1,100.0,2024-11-18 12:46:38.296405
114403350735,5,56,2,1,100.0,2024-11-18 12:46:40.601807
114141219453,5,136,2,7,85.71428571428571,2024-11-18 12:46:41.466978
123933892748,5,42,1,2,100.0,2024-11-18 12:46:42.343344
115322465586,5,44,12,4,100.0,2024-11-18 12:46:43.090909
267003988514,13,9,1,4,100.0,2024-11-18 12:46:44.162425
126361612240,14,25,1,2,100.0,2024-11-18 12:46:45.414414
387613367005,15,0,1,0,,2024-11-18 12:46:46.236433
356275107666,16,0,1,0,,2024-11-18 12:46:47.664984
387613446609,15,0,2,0,,2024-11-18 12:46:48.536627
134899699002,6,24,1,8,100.0,2024-11-18 12:46:49.370270
126251253469,14,28,3,10,100.0,2024-11-18 12:46:50.179291
201442420868,17,404,1,3,100.0,2024-11-18 12:46:51.495277
126251255194,14,33,1,8,87.5,2024-11-18 12:46:52.555926
116213156388,18,0,1,0,,2024-11-18 12:46:53.406316
356125108837,19,0,1,0,,2024-11-18 12:46:54.298880
286144771162,7,0,1,0,,2024-11-18 12:46:55.176304
