seller_id,seller_username,seller_feedback_score,seller_positive_feedback_percentage
1,dysonoutlet.ie,705,97.2
2,bargainsuk3,1629,99.6
3,haytech37,758,99.5
4,sivill123,22244,100.0
5,mr_vacuum_ltd,31610,98.5
6,thevacshop_ltd,226,99.5
7,totalseven,8380,99.7
8,rgbdire_78,118,93.2
9,2recover,5942,99.8
10,sal78601,1264,99.5
11,technohayk,214,97.9
12,st57_67,162,93.5
13,willms-ltd,5317,99.9
14,vacuumsdirect,1326,99.2
15,sbek21493-multimedia,886,100.0
16,9.nove,166,100.0
17,weareessexvacs,4576,100.0
18,pykes-independant-traders,5837,99.7
19,mitc3879,1084,98.7
20,*the*dyson*man*leicester,9127,99.5
21,kirklandsales91,1754,99.5
22,mtscollects,779,99.5
23,madladstechntoys,925,100.0
24,ge1986-de,659,100.0
25,gotechstore,2959,99.4
26,sbennett1987uk,3750,98.6
27,thevacman,640,98.3
28,pinsuk,3300,97.3
29,rickg1990,2396,100.0
30,elektroonline1,897,100.0
31,yorozu_japan,2640,99.1
32,lakamane,766,89.6
33,guru_vaz,17576,99.9
34,rach-connor26,1006,98.9
35,japan_peacelily_store,2379,99.2
36,therefurbworkshop,1672,99.8
37,cm-verkauf,36,100.0
38,itstoucan533,2452,99.1
39,tetsuya09,1277,99.5
40,shojin-123,1191,100.0
41,absolute-555,1092,99.9
42,fichte-auktion,38120,99.9
43,serman,467,83.8
44,hosam19755,1020,99.3
45,justrading,15673,97.0
46,nelmic1613,559,100.0
47,cparkinson,389,100.0
48,dylajohn0,552,92.7
49,spares4you,5252,99.2
50,moors-99,1998,98.4
51,mr_bonez,927,99.2
52,eightashsalesplus,4564,99.7
53,liton-9624,129,100.0
54,emw-elektro-media-world,39378,99.7
55,kagoolst,375,98.2
56,titchsbizarre,3865,99.4
57,clickseal,3153,98.7
58,united.87-2,743,97.4
59,hoover-happy,632,98.7
60,appliances_delivered,44,68.8
61,channingsindependenttraders,22429,99.8
62,javad_2008,947,98.4
63,levendeure,294,99.0
64,sharesbank,10645,96.6
65,good*vibes*,419,99.5
66,ll-dyson,2381,100.0
67,a-star-vacs,2895,100.0
68,charsaboss,8968,99.6
69,noyna_11,3176,99.1
70,matt2005fast,8222,98.2
71,settestore,529,98.5
72,pods_traders,2810,99.5
73,kirby_sales2,1283,98.8
