,ItemID,CommentingUser,CommentingUserScore,CommentText,CommentTime,CommentType
0,156397172176,r***e,258,Exactly as described,2024-10-28T07:00:00.000Z,Positive
1,315431242732,4***2,50,Really happy with this ,2024-11-11T07:00:00.000Z,Positive
2,315431242732,9***9,3,excellent condition very fast delivery time I'm delighted with purchase thank you ,2024-10-14T07:00:00.000Z,Positive
3,315431242732,d***0,236,Great price and super fast shipping! No.1 choice for Dyson for me ,2024-07-22T07:00:00.000Z,Positive
4,315431242732,d***0,236,Quick shipping & perfect goods. Great price.  100% recommend. ,2024-06-24T07:00:00.000Z,Positive
5,315431242811,i***c,38,Cancelled Order but was refunded -  however did not explain why until I had to contact them directly. ,2024-08-05T07:00:00.000Z,Neutral
6,315431242811,1***r,141,Boss Happy ,2024-07-08T07:00:00.000Z,Positive
7,315431242811,n***l,321,Happy with item ,2024-07-01T07:00:00.000Z,Positive
8,315431242811,i***c,15,"Really fast delivery, delighted with the dryer.",2024-06-24T07:00:00.000Z,Positive
9,326119858983,m***u,1276,All good,2024-06-24T07:00:00.000Z,Positive
10,395354328862,i***n,50,Very good ,2024-10-07T07:00:00.000Z,Positive
