,item_id,title,brand,url,price_usd,original_price_usd,discount_percentage,discount_amount_usd,category_id,category_name,condition_id,condition_name,item_location_country_id,item_location_country,item_location_city,number_sold,number_available,seller_username,seller_positive_feedback_percentage,seller_feedback_score,shipped_to_ie,shipping_cost_usd,item_positive_feedback_percentage,marketplace_id,searching_marketplace,date_time
0,276646642466,Dyson TP4A Pure Cool™ tower purifier fan | White/Silver | Refurbished,Dyson,https://www.ebay.com/itm/276646642466?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKmvroYePNtjZZGQLHKp8S9Y2j6AGYYGjeuJSZOZNotxSsGx1t0YvdtRh7Xzb8lWqXxu8I6ydl5ibLN08gegv5rgFJ5aYrIhhLxQxRgbv4aai%2BNP8YwM%2FsfMN8FrVMWgACgmJSqeTLZuwCjhtcFjTMCRbRkafq14OdrnIujFvMoZh2p4qUZlq0NmvyNHQVem69o%3D,179.99,549.99,67.0,370.00,43510,Air Purifiers,2000,Certified - Refurbished,US,United States,Fairfield,256,200,dysonofficial,95.1,105827,False,0.00,75.0,EBAY_US,EBAY_US,2024-11-19 20:36:06.054463
1,276700640888,Dyson HP07 Purifier Hot + Cool™ Fan | White/Silver | Refurbished,Dyson,https://www.ebay.com/itm/276700640888?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKnXdRSwbORSfWrLeJ9z%2B875V44fUmK5xrSO3E3rEwbKk8Yfx0WE1ZDVKfTHHA6G5HK1Bp7BzInxw1XkSa0SdAI1exZYfa4AwN4fGLwSCQh5%2BjPzH%2BbMtWwd5wPeSmtc7fwPDdrbA7McTGhAEOH9bziCgiUR0FZvUCBO8Jwzjq7TOZPnZ%2BS94JdpwUJ5jM2%2Fa64%3D,379.99,749.99,49.0,370.00,43510,Air Purifiers,2000,Certified - Refurbished,US,United States,Fairfield,51,200,dysonofficial,95.1,105827,False,0.00,100.0,EBAY_US,EBAY_US,2024-11-19 20:36:06.743481
2,276618777437,Dyson PH02 Pure Humidify + Cool Cryptomic™ | White/Light Gold | Refurbished,Dyson,https://www.ebay.com/itm/276618777437?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKlNFPIjHN1Nuz9hEiJb9ToKr%2F7a16qTo%2FoYUqoJiUH9vszedf91aW7dclV2eTJYN6UaWfvSjrxGVpRk3iapAU439NCuEaIRtsFEPuSOkSl5Ea5Qhbf2HnQMx2kNm8pPEs%2BjPJzLi23mYWnE%2BINJNIiN1fa8nacRP1ceX6rrqbVWWabuGaJdMuJA%2BmZ2cI9%2B88A%3D,329.99,899.99,63.0,570.00,43510,Air Purifiers,2000,Certified - Refurbished,US,United States,Fairfield,201,3,dysonofficial,95.1,105827,False,0.00,68.75,EBAY_US,EBAY_US,2024-11-19 20:36:07.499557
3,276596530300,Dyson TP04 Pure Cool Purifying Connected Tower Fan | Certified Refurbished,Dyson,https://www.ebay.com/itm/276596530300?var=2560025902430&amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKnXJMHy2RC%2FzeaBZLQo8E8bWf35dOtGeq22lSriDUs8mMaxezfcP6hjlwKcqEgOPzcyVYwLco%2F6I1gmLhpfj6uK8URgwS3I8zQPz10ZC7TYK9rOD7BWVOv8hq%2BrX%2BnxPKgVemDORy9gpVNUOezd%2FojAtkvfkBU0Kl7bEExXPuzxqH%2Fmm8MVwvc0JiWFuen609o%3D,239.99,549.99,56.0,310.00,43510,Air Purifiers,2000,Certified - Refurbished,US,United States,Fairfield,109,132,dysonofficial,95.1,105827,False,0.00,80.0,EBAY_US,EBAY_US,2024-11-19 20:36:08.250625
4,186709750160,Dyson Pure Hot+Cool Heater Fan HP01 Air Purifier w. Remote - White Silver SR,Dyson,https://www.ebay.com/itm/186709750160?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKkc%2FDRNp39zqvJHO3qlDWOBsyElBnxlTOxh0zRqRVYLIJmgH2C0hdbvM0stZLEeKd9q%2Bvb66A6DrHna%2BGC5Sd8KXdhb%2B0h6zK0tDL8%2BdVvf1ujaC3WvKDvT4sbpPxWk38hdINycQ8lS%2BIt3JeoVqpFmc2O3PlCI%2FCzN6m73YNYpS7XYdPNcZCror2oJf5bgybA%3D,199.95,,,,43510,Air Purifiers,2020,Very Good - Refurbished,US,United States,Rego park,50,5,uetronics,98.8,21968,False,0.00,100.0,EBAY_US,EBAY_US,2024-11-19 20:36:09.026376
5,186781308539,Dyson Pure Hot+Cool Heater Fan HP02 Air Purifier w. Remote - Gray Iron USED,Dyson,https://www.ebay.com/itm/186781308539?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKkr2VUBsEVo7W2clSJfac6Vz6CEuYek%2FMm59Hxi4Us5KQxxfuMsooFPSqDtxvLDgmXVjICw8OPJuLZ91Bsfv1NTGo1A2IvEfgrf8tI%2FJX9Trcnd17k%2FZDRkfKp9lzjRzbk5JrKv%2F6x%2FN2r8KOdm0IKJmhvBj7Gh7gOEQ7VENVMWfcqe7Oisd0gmKYHgJ%2Bj2UV0%3D,229.95,,,,43510,Air Purifiers,2030,Good - Refurbished,US,United States,Rego park,5,15,uetronics,98.8,21968,False,0.00,,EBAY_US,EBAY_US,2024-11-19 20:36:10.119910
6,186716273247,Dyson Pure Hot+Cool Heater Fan HP01 Air Purifier w. Remote - Gray Iron SR,Dyson,https://www.ebay.com/itm/186716273247?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKkTlIfvu9XnWYRW%2BWIM%2B4366WFTWWn%2F0jwRrq54dvSuW%2BqLpFzCecKH4L1Pg5BpZPW2Tl69TLO8i44RR5DMIhjeMRiXcPu6MYzzcEUbccRQv0iZ96PA80CikxQGUJK33sQecbeJomkZgsQ20XJ%2F%2Bh26pz1AbZD6JwtBQdZkP%2FjTL2NqB1RHVHC7lbXURxQr9FE%3D,199.95,,,,43510,Air Purifiers,2030,Good - Refurbished,US,United States,Rego park,31,13,uetronics,98.8,21968,False,0.00,100.0,EBAY_US,EBAY_US,2024-11-19 20:36:10.845213
7,186705178844,Dyson Pure Cool Fan Tower TP01 HEPA Air Purifier w. Remote - White Silver SR,Dyson,https://www.ebay.com/itm/186705178844?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKnp4asd1ZKAqhjxS5XvNoT8erodjVSwcLVfEBZHaE%2FqvuXRQqGHmksxIPW4I752FL63H1bPWhL541hyziztW2SXXXPCPg%2FlzCSvWApv524IkgqA%2FfDv9Hj7cYPR1lEdfCmW3nkuxt%2BzYojU6WFV497YfUHVAk7tQZifyDN5mvNIj2CYth6JCjLU5udhT%2Bs0Z8Q%3D,199.95,,,,43510,Air Purifiers,2020,Very Good - Refurbished,US,United States,Rego park,24,26,uetronics,98.8,21968,True,0.00,100.0,EBAY_US,EBAY_US,2024-11-19 20:36:11.711911
8,186736780109,Dyson Pure Cool Fan Tower TP01 HEPA Air Purifier w. Remote - Gray Black SR,Dyson,https://www.ebay.com/itm/186736780109?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKlR1mIDD3XnZyQH%2BEpDwfcbiw9nWOQ8F8CHKvpuA22OMpe20pNd%2FxuhifD9vZS2IbvXsw2Vb%2BNQKURcWiLoEUQKjCKIkebeztnxjOYU2uoAvIgUi790CIDViuBXCzdkjjBNV8VrVjlWZ9BftL3Zmty3bkmf6oZ1%2BUy9un2gb1JJMiIA%2BJzZ8wKlEoLT1sNPqg0%3D,189.95,,,,43510,Air Purifiers,2030,Good - Refurbished,US,United States,Rego park,5,15,uetronics,98.8,21968,True,0.00,,EBAY_US,EBAY_US,2024-11-19 20:36:12.480212
9,186711319405,Dyson Pure Hot+Cool Heater Fan HP02 Air Purifier w. Remote App - White Silver SR,Dyson,https://www.ebay.com/itm/186711319405?amdata=enc%3AAQAJAAAAoHoV3kP08IDx%2BKZ9MfhVJKkkFHmybD5m5ckBN7LmQ%2B705QU7v2xJ16sushQiYzNUaXI7PydTiefqLHkJUK066ZpKCoRhuOpcR3o2Tre6AB5s%2Blg0rk6IzObfRnzZjiWVFll66nX9lz%2BwyHDOl5YtFnFlF2%2Bw6L77Ipk2QizJ8KqXcigzi%2BUyQbvhm2OFwq8AbLZTUwTjvoKYSVprVkW3vIo%3D,249.95,,,,43510,Air Purifiers,2020,Very Good - Refurbished,US,United States,Rego park,28,18,uetronics,98.8,21968,False,0.00,,EBAY_US,EBAY_US,2024-11-19 20:36:13.338894
