,ItemID,CommentingUser,CommentingUserScore,CommentText,CommentTime,CommentType
0,276646642466,0***m,876,ð,2024-11-11T07:00:00.000Z,Positive
1,276646642466,o***y,311,Purchased Dyson tp4a no remote was in package Called Dyson they donât have any rude customer service said take it up with eBay we canât help you we donât have any remotes . So canât control item with no remote ,2024-11-11T07:00:00.000Z,Negative
2,276646642466,o***o,529,Good ,2024-11-11T07:00:00.000Z,Positive
3,276646642466,4***l,10,Super quiet and great purifier ï¿¼,2024-11-11T07:00:00.000Z,Positive
4,276646642466,q***u,162,This air purifier is great for the refurbished price of $179.00. I also got a two year warranty from ebay alstate.,2024-11-11T07:00:00.000Z,Positive
5,276646642466,w***o,118,"Item did not come with remote control, it is useless without it",2024-11-04T07:00:00.000Z,Negative
6,276646642466,5***a,397,"I was received Dyson tower purifier today. Very impressive with my purchase, itâs very well packaged. nice brand new with excellent working. Highly recommended ð",2024-11-04T07:00:00.000Z,Positive
7,276646642466,a***m,227,Seller was non-responsive to my questionsâ¦they Did not return questions I had regarding the purchased item.,2024-10-28T07:00:00.000Z,Neutral
8,276646642466,o***w,3226,"item arrived quickly and as described, THANKS!",2024-10-28T07:00:00.000Z,Positive
9,276646642466,e***r,59,It did not come with the remote control so I canât really use the machine. Iâm going to have to order one now so I can use this. I have messaged the seller three times over the course of nearly a business week and no response. I wanted to let them make it right but there was no response so here is this review. ,2024-10-28T07:00:00.000Z,Negative
10,276646642466,c***i,11,Wow what a gem. I love that this aero dynamic tower has the power yet so quiet to feel and cool my area were I read. If this was previously used I would have been fooled to think this was brand new. Who knew bargain shopping would be so in. All the cool kids are doing it! ,2024-10-21T07:00:00.000Z,Positive
11,276646642466,n***c,174,Item as describedâ¦fast shipping.,2024-10-14T07:00:00.000Z,Positive
12,276646642466,0***c,59,Item defective - still waiting on replacement- 2 weeks,2024-10-14T07:00:00.000Z,Negative
13,276646642466,_***_,65,"great buy
",2024-10-14T07:00:00.000Z,Positive
14,276646642466,1***n,349,The air coming from Dyson fan is like a breeze.  Not noisy.  Therefore I love to keep it,2024-10-14T07:00:00.000Z,Positive
15,276646642466,0***0,365,As represented in listing--shipped quickly--5 stars & highly recommended to all!,2024-10-07T07:00:00.000Z,Positive
16,276646642466,e***a,1007,good,2024-10-07T07:00:00.000Z,Positive
17,276646642466,n***a,100,Works amazing. Air quality is what I was most impressed with. Night mode is quiet ,2024-10-07T07:00:00.000Z,Positive
18,276646642466,n***n,96,A+++,2024-09-30T07:00:00.000Z,Positive
19,276646642466,3***8,482,Fast delivery,2024-09-30T07:00:00.000Z,Positive
20,276700640888,1***0,358,Works as it should ,2024-11-18T07:00:00.000Z,Positive
21,276700640888,k***h,19,looks brand new! very happy with it,2024-11-04T07:00:00.000Z,Positive
22,276618777437,r***k,33,"second time ordered first time was I operational . This Fan ( #2 ) works as intended. But dirty and the power cord wall adapter ( the transformer ) sounds like itâs been dropped. 

I expected better from Dyson. 
",2024-11-11T07:00:00.000Z,Neutral
23,276618777437,i***n,4,"Waited one week and then the item came defective. Does not work!!
Super disappointed as now I have to wait one more week to get the return label and god knows how many weeks to get a refund so I can order a new item.

BIG MISTAKE!!! I NEEDED THIS ITEM ASAP AS WE ARE HAVING HEALTH ISSUES BECAUSE OF THE DRY WEATHER AND NEEDED A HUMIDIFIER ASAP.

STAY AWAY FROM DYSON REFURBISHED!!",2024-11-11T07:00:00.000Z,Negative
24,276618777437,e***n,176,A pleasure to do business with!,2024-11-11T07:00:00.000Z,Positive
25,276618777437,2***t,230,This comment has been removed by eBay.,2024-11-04T07:00:00.000Z,Negative
26,276618777437,e***e,474,"

I received the item, but the adapter cable is defective and the product is not functioning. This raises concerns about quality control, contrary to your advertising claims. I have reached out several times for assistance but have not received a response. I noticed similar complaints about assistance in reviews, which is concerning.

I am still awaiting a reply and a replacement for the faulty cord.
",2024-11-04T07:00:00.000Z,Negative
27,276618777437,y***a,92,Looking and working great!,2024-11-04T07:00:00.000Z,Positive
28,276618777437,7***s,505,Thanks,2024-11-04T07:00:00.000Z,Positive
29,276618777437,r***k,33,Excellent item,2024-10-21T07:00:00.000Z,Positive
30,276618777437,a***n,8,like new,2024-10-07T07:00:00.000Z,Positive
31,276618777437,i***j,359,"Pay over $400 less for a new Dyson PHO2? Twist my arm! Iâm glad customers have an aversion to open boxes. It makes the deals sweet for folks like me. This machine is awesome. Set up easy, immediate results. Thanks Dyson! ",2024-10-07T07:00:00.000Z,Positive
32,276618777437,5***8,21302,Please follow the Poke_Garage!,2024-09-30T07:00:00.000Z,Positive
33,276618777437,t***i,87,Item arrived as described. Good price for refurbished item. Thank you.,2024-09-30T07:00:00.000Z,Positive
34,276618777437,e***l,464,"I received the Dyson PH02 pure humidity, turned on, worked 1 hour maximum and gt error on screen says water tank out, i requested return, and sent 3-4 texts they never responded. Now they donât want to provide shipping label. Pure service. Even not sure this is Dyson service or not.",2024-09-30T07:00:00.000Z,Negative
35,276618777437,i***i,39,Could not be more happy. Thanks Dyson!,2024-09-23T07:00:00.000Z,Positive
36,276618777437,t***d,1288,Great seller!,2024-09-16T07:00:00.000Z,Positive
37,276618777437,c***c,122,The item looks and works like it is new.  I will definitely be buying more refurbished products from Dyson!,2024-09-16T07:00:00.000Z,Positive
38,276596530300,2***d,1526,Thank you,2024-11-04T07:00:00.000Z,Positive
39,276596530300,f***f,150,Shipped quickly and the fan looks brand new. ,2024-11-04T07:00:00.000Z,Positive
40,276596530300,i***k,790,Thank you.,2024-10-21T07:00:00.000Z,Positive
41,276596530300,w***v,448,Love it!,2024-10-14T07:00:00.000Z,Positive
42,276596530300,e***s,845,No response from seller. This is my second purchase and they send mismatched parts. Not going to buy again and will not support the brand anymore. ,2024-10-14T07:00:00.000Z,Negative
43,276596530300,j***d,433,A+,2024-10-14T07:00:00.000Z,Positive
44,276596530300,j***d,433,A+,2024-10-14T07:00:00.000Z,Positive
45,276596530300,j***d,433,A+,2024-10-14T07:00:00.000Z,Positive
46,276596530300,t***3,7,Good product ,2024-10-07T07:00:00.000Z,Positive
47,276596530300,8***v,367,Love this. Have no fear buying refurbished products from Dyson. Works perfectly!,2024-10-07T07:00:00.000Z,Positive
48,276596530300,u***t,1821,All 5 Stars!! Thank you!!,2024-09-30T07:00:00.000Z,Positive
49,276596530300,i***v,108,Greatvproduct.  Machine #4 (one in every room incl bedroom)  stylish and quiet.  This connects to app (remote control) and Alexa/Google for voice control.,2024-09-23T07:00:00.000Z,Positive
50,276596530300,t***t,2428,"Item shouldn't be listed as refurbished, it should have been listed as heavily used! When I buy refurbished items, I expected the item to be a open box return or in like new condition.  This thing looked like it was used for years and has battle wounds all over it...(Box Cutter Marks/Crack, Skuff Marks). I'm highly disappointed with this one! Grade D Condition at best! Should fall under the category: Works...but that's about it. ",2024-09-23T07:00:00.000Z,Neutral
51,276596530300,i***i,669,Received quickly works great,2024-09-16T07:00:00.000Z,Positive
52,276596530300,1***5,50,Very good,2024-09-09T07:00:00.000Z,Positive
53,276596530300,r***r,148,The item is listed as a TP04. They are selling a TP4A. These are entirely different models. This is a bait and switch listing. Really disappointing - they are sending the Costco only model but listing it like it isnât that one. I messaged the seller and they confirmed this. ,2024-09-09T07:00:00.000Z,Negative
54,276596530300,r***3,19,"The fan works great, is in excellent condition BUT was delivered without the remote control.  There is no mention in the description that this item was being sold without the control so this is why I could not give it highest marks.  I have contacted the seller both through ebay, and PayPal  but have not received any response as to how to get the remote.  ",2024-09-09T07:00:00.000Z,Neutral
55,276596530300,5***4,100,Overnight shipping and imperfect condition! Will be using the seller again! ï¿¼,2024-09-09T07:00:00.000Z,Positive
56,276596530300,7***7,202,remote control didn't work and was told by seller that they had no replacements and I should wait,2024-09-09T07:00:00.000Z,Negative
57,276596530300,m***m,197,Awesome product! ,2024-09-09T07:00:00.000Z,Positive
58,276596530300,4***4,176,Item Arrived quick and came as described,2024-09-09T07:00:00.000Z,Positive
59,276596530300,8***7,1065,So far so good! Thank you seller cannot wait to use it tonight and enjoy clean air in our bedroom! Thank you again.,2024-09-09T07:00:00.000Z,Positive
60,276596530300,h***c,5101,Quick Delivery. Item Received in Order. Thanks!!!,2024-09-09T07:00:00.000Z,Positive
61,276596530300,c***1,1065,As described ,2024-08-26T07:00:00.000Z,Positive
62,276596530300,!***!,421,Thanks ,2024-08-26T07:00:00.000Z,Positive
63,186709750160,d***n,344,A+++++ sellerâ¦ highly recommended!!!,2024-11-11T07:00:00.000Z,Positive
64,186709750160,i***g,69,Wow looks and runs like it's brand new.sweet!,2024-11-11T07:00:00.000Z,Positive
65,186709750160,j***j,615,Works good.,2024-11-04T07:00:00.000Z,Positive
66,186709750160,0***i,142,Very happy with purchase. Item is in great condition and as described. ,2024-10-28T07:00:00.000Z,Positive
67,186709750160,e***1,1390,Was able to return item with no trouble.,2024-10-28T07:00:00.000Z,Positive
68,186709750160,t***n,382,"First, the item came quickly and was exactly what the seller said it was. Item was in very good shape. Through my error, I thought the seller sent the wrong model. Seller was responsive to my refund request and we resolved it as soon as I realized it was the right item. Thanks for a positive interaction.",2024-10-21T07:00:00.000Z,Positive
69,186709750160,h***a,387,Fast shipping. Working well,2024-10-14T07:00:00.000Z,Positive
70,186716273247,d***i,217,"Item as described, in good condition, works as expected.  Thank you!",2024-11-11T07:00:00.000Z,Positive
71,186716273247,n***t,2245,Thank you! It's great!,2024-11-04T07:00:00.000Z,Positive
72,186716273247,m***c,112,ð,2024-11-04T07:00:00.000Z,Positive
73,186716273247,3***n,93,"A really fast shipment, I would buy again from this vendor.",2024-10-21T07:00:00.000Z,Positive
74,186716273247,k***r,63,"Item works and looks like new, at a great price!
Definitely will purchase Dyson used again. So futuristic too; a fan that has a heating function AND filters your air?? YES please !!",2024-10-21T07:00:00.000Z,Positive
75,186705178844,s***s,20,Perfect and Speedy delivery.,2024-11-04T07:00:00.000Z,Positive
76,186705178844,.***l,19,"I love the older model, the new ones just scream overly complicated and likely to break when looking at how theyâre designed. Anyway I was pretty excited to see this offer, it arrived quickly, looks great and runs great. I do wanna add they include a fresh Dyson branded filter which is very nice and appreciated.",2024-11-04T07:00:00.000Z,Positive
77,186760013215,g***g,1316,A+eBayer. ð  Dyson Pure Cool Fan Tower TP01 HEPA Air Purifier w. Remote - Gray Blue SR.  Fast Shipping. Good Communication.  ð Thank You.,2024-11-11T07:00:00.000Z,Positive
78,335659254239,a***1,554,excellent deal,2024-11-11T07:00:00.000Z,Positive
