,ItemID,CommentingUser,CommentingUserScore,CommentText,CommentTime,CommentType
0,276495504432,g***k,518,item as described.,2024-11-11T07:00:00.000Z,Positive
1,276495504432,n***n,14,love it!,2024-11-11T07:00:00.000Z,Positive
2,276495504432,4***j,118,"Was as advertised, worked great!",2024-11-11T07:00:00.000Z,Positive
3,276495504432,8***9,5,Great quality!,2024-11-11T07:00:00.000Z,Positive
4,276495504432,e***e,14,The Dyson is perfect! In basically new condition but for a fraction of the normal price! Really happy with my purchase. I have really thick hair and this gets it dry way faster then other hair driers Iâve used ,2024-11-11T07:00:00.000Z,Positive
5,276495504432,c***o,160,Looks new and delivered fast.,2024-11-11T07:00:00.000Z,Positive
6,276495504432,-***2,8,"Shipped quickly directly from Dyson, item is in great condition with all attachments and works perfectly.  Best part is I didnât have to pay $499 full price and Dyson sends you the refurbished warranty directly. Great purchase!",2024-11-11T07:00:00.000Z,Positive
7,276495504432,b***w,12,"Fast delivery, clean packaging, exactly what was pictures",2024-11-11T07:00:00.000Z,Positive
8,276495504432,g***t,301,Perfect! ,2024-11-11T07:00:00.000Z,Positive
9,276495504432,l***o,2064,"Works perfect, love it. ",2024-11-11T07:00:00.000Z,Positive
10,276495504432,8***3,928,"Great deal, fast shipping! Would purchase from seller again!",2024-11-11T07:00:00.000Z,Positive
11,276495504432,e***n,176,A pleasure to do business with!,2024-11-11T07:00:00.000Z,Positive
12,276495504432,m***s,6391,Exactly as described. Thank you!,2024-11-11T07:00:00.000Z,Positive
13,276495504432,4***l,89,"Amazing seller, loved it thank you.",2024-11-04T07:00:00.000Z,Positive
14,276495504432,n***a,232,"Received item just as described, love it and would defiantly buy from seller again",2024-11-04T07:00:00.000Z,Positive
15,276495504432,c***a,1342,Great deal on a quality refurbished item!,2024-11-04T07:00:00.000Z,Positive
16,276495504432,j***a,435,Great!,2024-11-04T07:00:00.000Z,Positive
17,276495504432,j***y,20,The hair dryer came as expected. Works great and I love it!,2024-11-04T07:00:00.000Z,Positive
18,276495504432,v***k,142,"Perfect item, fast shipping.",2024-11-04T07:00:00.000Z,Positive
19,276495504432,3***1,6,Love this ,2024-11-04T07:00:00.000Z,Positive
20,276495504432,d***l,278,Was able to register it on Dyson's official site and they assured me it is a genuine Dyson.  Still learning to use it on my long hair but drying is much faster than with my regular dryer.,2024-11-04T07:00:00.000Z,Positive
21,276495504432,r***u,130,"Timely delivery, secure packaging, reasonable pricing for a refurbished item.  ",2024-10-28T07:00:00.000Z,Positive
22,276495504432,e***n,7,Excellent ,2024-10-28T07:00:00.000Z,Positive
23,276495504432,x***k,5,Refurbished Dyson supersonic hair dryer is in good shape and works. Shipping came as expected and in a sturdy box with all accessories and love the 2 year warranty. Thank you!,2024-10-28T07:00:00.000Z,Positive
24,276495504432,o***n,212,Thanks,2024-10-28T07:00:00.000Z,Positive
25,186765270224,f***g,315,Thank you!,2024-11-18T07:00:00.000Z,Positive
26,186765270224,f***c,712,"Seemed legit, so far so good, only one spot of cosmetic damage spot, functioning well, a keeper.",2024-11-11T07:00:00.000Z,Positive
27,186636549919,.***3,99,Great transaction!,2024-10-21T07:00:00.000Z,Positive
28,186636549919,e***.,2347,Dryer works perfectly.  Great transaction.  Thank you.,2024-10-14T07:00:00.000Z,Positive
29,186636549919,c***a,3628,Love this dryer. Thanks!,2024-10-07T07:00:00.000Z,Positive
30,186636549919,p***r,100,As described,2024-09-23T07:00:00.000Z,Positive
31,186636549919,d***d,565,Great hairdryer fast service ,2024-09-16T07:00:00.000Z,Positive
32,186636549919,n***n,1394,"Great seller, item as described, I will buy again. ",2024-09-09T07:00:00.000Z,Positive
33,276544487718,4***1,90,This morning was the first time I used it and it feels gorgeous. Iâm really impressed with the difference I experience compared to my conventional hair dryer. It is totally worth it. I hope it keeps working perfectly.,2024-11-11T07:00:00.000Z,Positive
34,276544487718,6***6,677,Best price and fast shipping ,2024-10-21T07:00:00.000Z,Positive
35,276544487718,6***6,677,Best price and fast shipping ,2024-10-21T07:00:00.000Z,Positive
36,276544487718,6***6,677,Best price and fast shipping ,2024-10-21T07:00:00.000Z,Positive
37,276544487718,o***s,2492,Thanks ,2024-10-21T07:00:00.000Z,Positive
38,276544487718,s***r,4761,Great item. Fast shipping. ,2024-10-21T07:00:00.000Z,Positive
39,276544487718,i***m,878,Product came as described !! Fast shipping !! Thank you !! ,2024-10-14T07:00:00.000Z,Positive
40,276544487718,a***3,170,Wife was very happy,2024-10-14T07:00:00.000Z,Positive
41,276544487718,e***r,81,In perfect conditions,2024-10-07T07:00:00.000Z,Positive
42,276544487718,e***l,1198,Exactly as described and shipped fast.,2024-10-07T07:00:00.000Z,Positive
43,276544487718,l***n,615,Great products. Fast shipping.,2024-09-30T07:00:00.000Z,Positive
44,276544487718,e***e,488,Seller doesnât respond to any messages. Horrific experience. ,2024-09-30T07:00:00.000Z,Negative
45,276544487718,e***s,477,"BUYERS READ: The product works fine. Canât expect much from a refurbished item. However itâs so dusty like itâs been sitting in a dusty warehouse for a while before the product is packaged and mailed out. It would be nicer to have least wiped the product off first before shipping. It also only came with one singe attachment. Not the full attachments with the new retail version. Be aware of this. Otherwise, it works for now. ",2024-09-30T07:00:00.000Z,Positive
46,276544487718,h***e,12,Looks brand new!,2024-09-30T07:00:00.000Z,Positive
47,276544487718,e***c,667,Great thanks!,2024-09-30T07:00:00.000Z,Positive
48,276544487718,4***9,44,Great product,2024-09-30T07:00:00.000Z,Positive
49,276544487718,n***2,1,Has not arrived ,2024-09-30T07:00:00.000Z,Negative
50,276544487718,n***u,334,Good product as new ,2024-09-23T07:00:00.000Z,Positive
51,276544487718,1***h,26,great,2024-09-23T07:00:00.000Z,Positive
52,276544487718,n***k,8175,"Looks brand new, works great, exactly as described and shipped quickly. ",2024-09-23T07:00:00.000Z,Positive
53,276544487718,_***z,308,A+,2024-09-23T07:00:00.000Z,Positive
