,ItemID,CommentingUser,CommentingUserScore,CommentText,CommentTime,CommentType
0,275300691493,j***j,5,"I purchased this item & was disappointed upon receiving it. First, the item did not arrive in a proper, sealed box, which made it feel like a used or returned product rather than a new one. After spending over $200, I expected the item to be in new condition, but it came in an open box with no instructions or SKU numbers for registration. This was quite frustrating and not what i had anticipated feom a new purchase.",2024-11-18T07:00:00.000Z,Neutral
1,275300691493,n***n,460,"Item arrived damaged though seemed properly packaged. Seller accepted the return, but then did not send a return shipping label for almost 10 days (and only then after escalating to an eBay account manager for Dyson). This will impact my decision to purchase a replacement item. ",2024-11-11T07:00:00.000Z,Negative
2,275300691493,r***p,196,Great,2024-11-04T07:00:00.000Z,Positive
3,275300691493,o***a,90,Excelent ,2024-11-04T07:00:00.000Z,Positive
4,275300691493,3***1,6,Love this ,2024-11-04T07:00:00.000Z,Positive
5,275300691493,j***5,22,As described and delivered intact,2024-10-28T07:00:00.000Z,Positive
6,275300691493,b***1,75,Excellent service! Very happy with my product. Thank you so much!,2024-10-28T07:00:00.000Z,Positive
7,275300691493,1***1,410,Item is missing the piece that allows it to be turned on,2024-10-28T07:00:00.000Z,Neutral
8,275300691493,3***a,3,The packaging and item were perfect - very impressive! Definitely like new. The straightener is heavier than I expected but I do really like it! ,2024-10-21T07:00:00.000Z,Positive
9,275300691493,c***t,193,Wife loves it and works just how it should,2024-10-21T07:00:00.000Z,Positive
10,275300691493,4***2,1324,A++++++++++++,2024-10-21T07:00:00.000Z,Positive
11,275300691493,w***w,14,"Great product, great price, fast shipping!  Would highly recommend.",2024-10-21T07:00:00.000Z,Positive
12,275300691493,e***4,49,Was missing the Dyson Flight-ready tag so I canât get it off airplane mode. Sent seller email on sept 29 and itâs October 10 and no reply.,2024-10-07T07:00:00.000Z,Negative
13,275300691493,t***t,14,"I got what I ordered, it's in perfect condition!",2024-09-30T07:00:00.000Z,Positive
14,275300691493,8***m,232,Great item been buying here a couple of times,2024-09-30T07:00:00.000Z,Positive
15,275300691493,r***t,275,Perfect!,2024-09-30T07:00:00.000Z,Positive
16,275300691493,m***p,18,Great straightner ..does a fantastic job ..super happy with this purchase ,2024-09-23T07:00:00.000Z,Positive
17,275300691493,7***l,150,Item arrived quickly and works perfectly!,2024-09-23T07:00:00.000Z,Positive
18,275300691493,u***v,201,"They sent me the Dyson Corrale without the flight ready tag. This makes the straightener unfunctional since it is always on airplane mode. I contacted the seller and after I sent them proof the Dyson did not have the tag they told me it would take them 3 weeks to get the missing part. This is poor customer service, they should have offered a replacement product. Why are you selling a $224 straighter that does not work??? You expect your customers to wait 3 weeks after you paid for the item ",2024-09-23T07:00:00.000Z,Negative
19,275300691493,m***m,2230,"Dyson Corrale Straightener | Cordless | Certified Refurbished
Sold by: dysonstore  - ÂºÂ¤AwEsOME!ÂºÂ¤Ã¸,Â¸Â¸,Ã¸Â¤ÂºGrEaT!ÂºÂ¤Ã¸,Â¸Â¸,Ã¸Â¤ÂºTHAnK YoU!ÂºÂ¤Ã¸",2024-09-16T07:00:00.000Z,Positive
20,275300691493,a***r,651,Good seller fast shipping thank you!,2024-09-16T07:00:00.000Z,Positive
21,275300691493,o***2,84,Works great. Exactly as described. Thank you!,2024-09-16T07:00:00.000Z,Positive
22,275300691493,a***a,324,Bad battery in the item.  Still have not gotten it replaced because they make you take it to a specific UPS store that is an hour away from me ,2024-09-16T07:00:00.000Z,Neutral
23,275300691493,a***t,255,Good product! Fast shipping!! A+++ Experience ,2024-09-16T07:00:00.000Z,Positive
24,275300691493,0***0,374,great!,2024-09-16T07:00:00.000Z,Positive
25,276716621657,7***a,100,"The box that my Dyson air straight was in was opened, and I was surprised it was not sealed. It looks like somebody has tampered with it. I will use it in a day or two and find out",2024-11-18T07:00:00.000Z,Negative
26,276716621657,y***y,1386,Fast shipping ,2024-11-18T07:00:00.000Z,Positive
27,276716621657,c***a,703,A++++ Seller !,2024-11-11T07:00:00.000Z,Positive
28,276716621657,c***n,548,"Item shipped quickly and arrived as described, couldnât be happier with the purchase!",2024-11-11T07:00:00.000Z,Positive
29,276716621657,r***a,16,Very fast and easy transaction.,2024-11-11T07:00:00.000Z,Positive
30,363943257122,z***h,698,Exactly as described ,2024-09-02T07:00:00.000Z,Positive
31,363943257122,a***a,37,It was written that it was returned by the client and like new. It turned out that it was actively used and there are bumps and scratches.  Also it is not in Fahrenheit but in Celsius. Apparently returned by a client from Europe :) I do not recommend buying from this seller.,2024-06-24T07:00:00.000Z,Negative
32,363943257122,w***6,1522,Great seller ,2024-05-27T07:00:00.000Z,Positive
33,363943257122,i***a,36,I received the parcel and everything is fine.  Works great looks like new.  Thanks to the seller.,2024-03-11T07:00:00.000Z,Positive
34,363943257122,k***a,2,Loved the transaction. The item arrived on time. But have to return it since it has no charger :(,2024-01-08T07:00:00.000Z,Positive
